id,drive_file_id,name,mime_type,size,created_time,modified_time,web_view_link,is_shared,synced_at
2834,1Zl5Fn6REIWJzg_nByh4_hXGq96-CS9TT,P1059416.jpg,image/jpeg,9428595,2025-05-23 02:25:26.811,2025-05-23 02:25:27.129,https://drive.google.com/file/d/1Zl5Fn6REIWJzg_nByh4_hXGq96-CS9TT/view?usp=drivesdk,t,2025-10-06 14:29:52.219459
2835,1XbFT-MeFi7wK_6IS0ypCgjha8UN6B802,P1059412.jpg,image/jpeg,7205765,2025-05-23 02:25:26.802,2025-05-23 02:25:27.099,https://drive.google.com/file/d/1XbFT-MeFi7wK_6IS0ypCgjha8UN6B802/view?usp=drivesdk,t,2025-10-06 14:29:52.219459
2836,1tEAIeRiVe5SgFx5mvldm5Wic472mgWNF,Simpactful Travel Policy110223.pdf,application/pdf,156371,2025-05-22 20:17:09.232,2025-05-22 20:18:10.607,https://drive.google.com/file/d/1tEAIeRiVe5SgFx5mvldm5Wic472mgWNF/view?usp=drivesdk,t,2025-10-06 14:29:52.219459
4768,1GF9wezwNWFG91gav_0TA5E6bj3yHwmHA,leadership Quotes Content (14).png,image/png,664585,2024-05-22 23:20:35.722,2024-05-22 23:19:25,https://drive.google.com/file/d/1GF9wezwNWFG91gav_0TA5E6bj3yHwmHA/view?usp=drivesdk,t,2025-10-06 14:34:47.026626
4769,1c04D6oETMBy8wXJ1Q_GXFe8pz5ruIxAA,leadership Quotes Content (13).png,image/png,626806,2024-05-22 23:13:25.554,2024-05-22 23:12:17,https://drive.google.com/file/d/1c04D6oETMBy8wXJ1Q_GXFe8pz5ruIxAA/view?usp=drivesdk,t,2025-10-06 14:34:47.026626
4770,12tw5HyO633EoLU5THwrxLgQTBV6dMfjL,leadership Quotes Content (12).png,image/png,619699,2024-05-22 23:13:28.746,2024-05-22 23:11:45,https://drive.google.com/file/d/12tw5HyO633EoLU5THwrxLgQTBV6dMfjL/view?usp=drivesdk,t,2025-10-06 14:34:47.026626
4771,1Rws2ZF4c8UbaxhTzkLmtGoSG-KaD9fzr,leadership Quotes Content (11).png,image/png,653005,2024-05-22 05:17:48.392,2024-05-22 05:17:31,https://drive.google.com/file/d/1Rws2ZF4c8UbaxhTzkLmtGoSG-KaD9fzr/view?usp=drivesdk,t,2025-10-06 14:34:47.026626
4772,1aisb0464_ahks94zeTyTa-dQI5B2Gtiy,Quote RR.png,image/png,540586,2024-05-22 05:09:05.24,2024-05-22 05:08:36,https://drive.google.com/file/d/1aisb0464_ahks94zeTyTa-dQI5B2Gtiy/view?usp=drivesdk,t,2025-10-06 14:34:47.026626
4773,1HeMV5mm_l7sExQK1J-EaPXZyELiWVae-,Quote.png,image/png,682506,2024-05-22 05:04:42.75,2024-05-22 04:54:50,https://drive.google.com/file/d/1HeMV5mm_l7sExQK1J-EaPXZyELiWVae-/view?usp=drivesdk,t,2025-10-06 14:34:47.026626
4774,1EqDKDBAbYCPEq6P9QM3deI3VoHaAECf2,Quote.png,image/png,664794,2024-05-01 19:27:13.098,2024-05-22 04:53:20.72,https://drive.google.com/file/d/1EqDKDBAbYCPEq6P9QM3deI3VoHaAECf2/view?usp=drivesdk,t,2025-10-06 14:34:47.026626
4775,1MI0Ft4gsSqgctA8yHER_m285qDdRsMS6,leadership Quotes Content (9).png,image/png,634623,2024-05-22 04:53:09.204,2024-05-22 04:52:40,https://drive.google.com/file/d/1MI0Ft4gsSqgctA8yHER_m285qDdRsMS6/view?usp=drivesdk,t,2025-10-06 14:34:47.026626
4776,1UTI4xUmrQv-MaQltG3qM-noWCeVm61lO,leadership Quotes Content (8).png,image/png,704572,2024-05-22 04:49:46.3,2024-05-22 04:49:20,https://drive.google.com/file/d/1UTI4xUmrQv-MaQltG3qM-noWCeVm61lO/view?usp=drivesdk,t,2025-10-06 14:34:47.026626
2837,1vK-TYLxG6708p1wQxsxQZsnlI_PTftQt,Simpactful Travel Policy FINAL 110223 (1).pdf,application/pdf,156371,2025-05-22 20:19:44.737,2025-05-22 20:16:04,https://drive.google.com/file/d/1vK-TYLxG6708p1wQxsxQZsnlI_PTftQt/view?usp=drivesdk,t,2025-10-06 14:29:52.219459
2838,1JPojkgw7qfcxhWcOyuEz6YpvySJ7yl9GO8Yvl6xU8co,Kevin / Allan Connect,application/vnd.google-apps.document,4858,2025-05-22 20:13:19.203,2025-05-22 20:13:20.979,https://docs.google.com/document/d/1JPojkgw7qfcxhWcOyuEz6YpvySJ7yl9GO8Yvl6xU8co/edit?usp=drivesdk,f,2025-10-06 14:29:52.219459
2243,1Qybf0sgxncdMj1klKlmWdrFtBklAFxS0,P1060215.jpg,image/jpeg,11812260,2025-05-23 03:59:01.203,2025-05-23 03:59:01.637,https://drive.google.com/file/d/1Qybf0sgxncdMj1klKlmWdrFtBklAFxS0/view?usp=drivesdk,t,2025-10-06 14:28:31.480768
4777,12gLHfU0Bp-kTMhmvLP8DrFNMCr9x_Ahs,leadership Quotes Content (7).png,image/png,715543,2024-05-22 04:49:46.377,2024-05-22 04:48:14,https://drive.google.com/file/d/12gLHfU0Bp-kTMhmvLP8DrFNMCr9x_Ahs/view?usp=drivesdk,t,2025-10-06 14:34:47.026626
4784,1nD5YQC7GOQb6NTwhs80g2G798WnHHZjgbKt2nFfpC3A,Quotes,application/vnd.google-apps.document,4011,2024-05-22 04:17:29.953,2024-05-22 04:18:35.368,https://docs.google.com/document/d/1nD5YQC7GOQb6NTwhs80g2G798WnHHZjgbKt2nFfpC3A/edit?usp=drivesdk,t,2025-10-06 14:34:47.026626
